gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Student_ID,Feedback_Text,Risk_Level,gpa,attendance_rate,participation_score,late_submissions
male,group B,some high school,standard,completed,67,71,63,STU10025,I need to study more consistently going forward.,1,3.04,75,66,5
male,group A,some college,free/reduced,none,75,85,72,STU10026,My confidence in this subject has grown significantly.,0,3.46,91,97,1
female,group E,some college,standard,none,70,73,73,STU10027,I'm motivated to keep improving my grades.,0,2.83,99,78,0
male,group D,some college,standard,completed,71,78,84,STU10028,I love this subject and enjoy the classes.,0,2.72,92,93,0
male,group E,associate's degree,standard,none,77,54,66,STU10029,The study materials are excellent and easy to follow.,0,2.41,86,85,0
female,group C,some high school,standard,completed,90,97,95,STU10030,I participate actively in class discussions.,0,3.9,91,92,0
male,group B,associate's degree,free/reduced,completed,86,74,71,STU10031,The study materials are excellent and easy to follow.,0,3.14,100,82,1
male,group B,high school,standard,completed,69,61,65,STU10032,"It was fine, not great. I have room to improve.",1,2.73,81,77,4
female,group C,associate's degree,free/reduced,completed,69,70,65,STU10033,The study materials are excellent and easy to follow.,0,2.84,88,76,1
female,group B,some college,free/reduced,completed,63,77,65,STU10034,I enjoy group projects and collaborative learning.,0,2.53,91,92,1
female,group B,some high school,standard,completed,63,65,72,STU10035,I feel confident about my progress this semester.,0,2.47,87,89,2
male,group C,some college,standard,none,66,62,71,STU10036,I'm motivated to keep improving my grades.,0,2.92,87,99,0
male,group B,some college,free/reduced,none,74,63,68,STU10037,My study habits are strong and I feel on track.,0,3.03,86,80,1
female,group D,some college,standard,completed,71,70,84,STU10038,I am satisfied with my performance and feel well-prepared.,0,2.81,99,84,1
female,group B,associate's degree,standard,completed,91,88,93,STU10039,The study materials are excellent and easy to follow.,0,4.0,100,79,0
male,group D,some college,standard,completed,57,55,57,STU10040,I did okay but could do better with more effort.,1,2.29,80,53,1
male,group D,some college,standard,none,79,68,68,STU10041,I participate actively in class discussions.,0,2.89,86,91,0
male,group B,high school,standard,none,61,73,63,STU10042,The exam was average difficulty for me.,1,2.77,77,75,1
female,group D,bachelor's degree,standard,completed,67,79,83,STU10043,I feel supported by my teachers and peers.,0,3.12,86,94,0
male,group C,high school,free/reduced,none,64,62,60,STU10044,"I feel neutral about school, neither excited nor worried.",1,2.33,78,63,3
female,group C,some college,standard,completed,67,80,79,STU10045,I love this subject and enjoy the classes.,0,2.72,94,89,1
female,group B,high school,free/reduced,completed,72,80,81,STU10046,I feel supported by my teachers and peers.,0,2.76,99,94,2
female,group C,bachelor's degree,standard,none,81,84,87,STU10047,The test was manageable and I understood most concepts.,0,3.13,93,79,1
female,group D,master's degree,standard,none,95,99,100,STU10048,I feel supported by my teachers and peers.,0,3.72,94,80,1
male,group E,some college,standard,completed,89,79,69,STU10049,My confidence in this subject has grown significantly.,0,3.0,85,96,2
female,group D,master's degree,standard,none,91,95,96,STU10050,"Great learning experience, the teacher is very helpful.",0,3.44,89,83,0
male,group C,bachelor's degree,standard,completed,92,95,97,STU10051,I feel supported by my teachers and peers.,0,3.83,93,84,2
male,group C,some college,free/reduced,none,78,65,61,STU10052,I am doing well and understanding the concepts clearly.,0,2.83,93,91,1
female,group E,bachelor's degree,free/reduced,completed,93,98,100,STU10053,"Great learning experience, the teacher is very helpful.",0,4.0,87,95,1
male,group E,some college,standard,none,61,51,42,STU10054,I understand lectures but struggle with practice problems.,2,1.76,56,20,15
female,group C,bachelor's degree,free/reduced,completed,71,88,93,STU10055,My study habits are strong and I feel on track.,0,3.3,85,78,0
female,group D,master's degree,free/reduced,none,35,59,50,STU10056,The course material is too difficult for me.,2,1.96,63,47,12
male,group D,master's degree,standard,none,87,80,79,STU10057,I feel confident about my progress this semester.,0,2.91,96,100,0
female,group B,associate's degree,standard,none,45,47,54,STU10058,The questions were confusing and I couldn't finish on time.,2,2.08,62,45,10
female,group B,high school,free/reduced,none,62,74,72,STU10059,The workload is manageable but sometimes overwhelming.,1,3.12,75,61,4
female,group D,associate's degree,standard,none,57,72,65,STU10060,The study materials are excellent and easy to follow.,0,2.81,98,100,2
male,group D,high school,standard,none,62,72,65,STU10061,I understand lectures but struggle with practice problems.,1,2.38,73,74,1
female,group D,high school,free/reduced,none,39,52,45,STU10062,The questions were confusing and I couldn't finish on time.,2,2.15,62,29,7
male,group C,high school,free/reduced,completed,53,46,50,STU10063,I think I could do better if I focused more.,1,1.85,72,67,3
female,group D,some college,standard,none,69,73,72,STU10064,I consistently complete assignments on time and enjoy learning.,0,3.13,95,75,0
female,group C,associate's degree,free/reduced,none,55,75,71,STU10065,I understand the basics but struggle with advanced topics.,1,3.05,78,52,1
female,group D,master's degree,standard,none,54,65,62,STU10066,Some topics are clear but others are confusing.,1,2.26,89,82,1
male,group C,high school,standard,none,67,66,68,STU10067,I find the coursework challenging but rewarding.,0,2.32,98,75,2
male,group A,some college,standard,completed,82,76,70,STU10068,I feel supported by my teachers and peers.,0,3.19,91,86,1
female,group E,bachelor's degree,standard,none,76,87,84,STU10069,The test was manageable and I understood most concepts.,0,3.63,95,96,0
female,group B,high school,standard,none,70,77,72,STU10070,"Great learning experience, the teacher is very helpful.",0,3.05,95,87,2
female,group C,high school,standard,none,70,83,74,STU10071,"Great learning experience, the teacher is very helpful.",0,2.78,97,96,2
male,group B,bachelor's degree,free/reduced,none,50,56,51,STU10072,I feel anxious about exams and my future.,2,2.02,40,29,8
female,group B,some high school,free/reduced,completed,64,75,77,STU10073,I enjoy group projects and collaborative learning.,0,3.0,99,89,1
female,group D,some high school,free/reduced,completed,38,54,62,STU10074,I missed several classes and can't catch up.,2,2.37,50,15,8
male,group C,high school,free/reduced,none,29,33,40,STU10075,I missed several classes and can't catch up.,2,1.46,45,25,14
male,group C,high school,standard,completed,68,62,56,STU10076,I understand lectures but struggle with practice problems.,1,2.1,77,80,5
male,group E,associate's degree,standard,none,68,58,57,STU10077,I am disappointed with my scores and feel lost.,2,2.75,52,34,11
female,group C,associate's degree,free/reduced,none,52,59,59,STU10078,I need to study more consistently going forward.,1,1.87,73,77,2
male,group C,some high school,free/reduced,none,71,76,63,STU10079,The study materials are excellent and easy to follow.,0,2.44,92,78,1
male,group C,master's degree,standard,none,83,76,78,STU10080,I feel confident about my progress this semester.,0,3.29,95,99,1
female,group B,some high school,free/reduced,none,52,59,55,STU10081,The workload is manageable but sometimes overwhelming.,1,2.15,87,78,2
male,group C,high school,standard,none,84,69,68,STU10082,My study habits are strong and I feel on track.,0,3.15,93,99,2
male,group E,some college,standard,none,92,92,86,STU10083,My study habits are strong and I feel on track.,0,3.42,87,97,1
male,group D,some high school,standard,completed,77,69,83,STU10084,I love this subject and enjoy the classes.,0,2.91,87,79,0
female,group B,associate's degree,standard,none,48,47,45,STU10085,The workload is manageable but sometimes overwhelming.,1,1.64,83,76,3
male,group D,some college,free/reduced,none,65,57,60,STU10086,I attend classes regularly but don't always pay attention.,1,2.69,82,51,5
female,group C,some college,standard,none,65,74,74,STU10087,I am satisfied with my performance and feel well-prepared.,0,2.68,97,88,2
female,group C,some college,standard,completed,65,73,73,STU10088,I participate actively in class discussions.,0,3.13,100,82,1
female,group C,associate's degree,free/reduced,none,59,73,63,STU10089,I am satisfied with my performance and feel well-prepared.,0,2.74,97,98,0
female,group C,some college,standard,completed,71,95,84,STU10090,My confidence in this subject has grown significantly.,0,3.04,85,87,2
male,group D,master's degree,standard,none,78,67,79,STU10091,I am satisfied with my performance and feel well-prepared.,0,2.93,99,80,0
male,group B,associate's degree,standard,none,45,46,43,STU10092,I am stressed and falling behind in multiple subjects.,2,1.56,60,31,10
female,group C,some college,standard,none,53,67,67,STU10093,I need more time to grasp certain concepts.,1,2.76,85,51,5
male,group D,bachelor's degree,standard,none,77,73,78,STU10094,I am satisfied with my performance and feel well-prepared.,0,2.92,87,99,2
female,group D,bachelor's degree,free/reduced,none,75,89,89,STU10095,I am satisfied with my performance and feel well-prepared.,0,3.73,91,75,2
male,group E,bachelor's degree,standard,completed,73,67,70,STU10096,I feel confident about my progress this semester.,0,2.49,91,89,2
male,group A,bachelor's degree,standard,completed,82,81,83,STU10097,"Great learning experience, the teacher is very helpful.",0,3.01,88,99,0
male,group A,some college,standard,none,58,48,41,STU10098,I am disappointed with my scores and feel lost.,2,2.3,64,35,15
male,group C,some college,standard,none,52,38,35,STU10099,The questions were confusing and I couldn't finish on time.,2,1.82,55,16,15
female,group C,some college,free/reduced,none,36,34,28,STU10100,I have no motivation to study anymore.,2,1.45,47,46,4
female,group E,some college,free/reduced,completed,76,85,86,STU10101,I am doing well and understanding the concepts clearly.,0,3.42,87,91,2
female,group D,some college,free/reduced,none,69,79,78,STU10102,I attend classes regularly but don't always pay attention.,0,3.27,88,88,1
female,group D,master's degree,standard,none,95,99,100,STU10103,I'm motivated to keep improving my grades.,0,3.89,89,88,0
female,group E,master's degree,standard,completed,89,100,100,STU10104,The study materials are excellent and easy to follow.,0,3.97,100,89,1
female,group E,some college,free/reduced,none,74,79,74,STU10105,My confidence in this subject has grown significantly.,0,2.84,92,77,1
male,group D,bachelor's degree,free/reduced,completed,41,40,42,STU10106,My home situation makes it hard to focus on studies.,2,1.84,64,31,4
male,group B,some high school,standard,completed,90,83,82,STU10107,My study habits are strong and I feel on track.,0,3.15,91,86,1
male,group C,bachelor's degree,standard,none,64,67,66,STU10108,I feel supported by my teachers and peers.,0,2.93,85,91,0
male,group C,bachelor's degree,free/reduced,none,38,51,49,STU10109,The workload is manageable but sometimes overwhelming.,1,1.88,77,80,4
male,group B,some college,free/reduced,none,55,58,49,STU10110,I struggled a lot with the material this term.,2,1.94,55,29,14
female,group E,associate's degree,standard,completed,67,75,78,STU10111,My study habits are strong and I feel on track.,0,2.81,95,86,2
female,group D,some college,free/reduced,none,70,84,84,STU10112,My study habits are strong and I feel on track.,0,2.97,88,98,0
female,group B,some high school,standard,none,54,71,77,STU10113,The study materials are excellent and easy to follow.,0,2.9,90,81,0
male,group B,associate's degree,free/reduced,none,69,64,60,STU10114,I understand the basics but struggle with advanced topics.,1,2.95,86,68,1
male,group B,some college,standard,none,47,38,39,STU10115,I feel isolated and don't have anyone to help me.,2,1.44,51,29,4
male,group E,associate's degree,free/reduced,completed,96,71,85,STU10116,The study materials are excellent and easy to follow.,0,3.18,86,92,1
female,group C,bachelor's degree,free/reduced,none,47,65,61,STU10117,I need to study more consistently going forward.,1,2.51,73,50,5
male,group C,associate's degree,standard,none,44,50,39,STU10118,I am stressed and falling behind in multiple subjects.,2,1.73,51,13,8
female,group D,some high school,standard,none,56,68,81,STU10119,I sometimes fall behind on homework but catch up eventually.,1,2.39,85,54,5
male,group C,some college,standard,none,52,39,39,STU10120,I'm considering dropping out because I can't keep up.,2,1.45,59,15,7
female,group D,some college,free/reduced,none,57,68,67,STU10121,I enjoy group projects and collaborative learning.,0,2.64,92,99,2
female,group C,high school,free/reduced,none,30,53,47,STU10122,I feel overwhelmed by the amount of work assigned.,2,1.69,67,29,13
female,group E,associate's degree,free/reduced,completed,82,85,85,STU10123,I find the coursework challenging but rewarding.,0,3.73,88,99,0
female,group B,high school,standard,none,66,65,62,STU10124,I understand the basics but struggle with advanced topics.,1,2.3,75,85,1
male,group D,some high school,standard,completed,63,71,70,STU10125,I consistently complete assignments on time and enjoy learning.,0,2.8,94,76,0
male,group A,bachelor's degree,standard,none,67,69,60,STU10126,"Great learning experience, the teacher is very helpful.",0,2.58,92,83,2
female,group C,some college,standard,none,88,79,91,STU10127,I find the coursework challenging but rewarding.,0,3.79,98,78,2
male,group C,associate's degree,free/reduced,none,58,65,55,STU10128,I need to study more consistently going forward.,1,2.63,72,53,2
female,group E,high school,free/reduced,completed,70,76,74,STU10129,"I feel neutral about school, neither excited nor worried.",1,2.99,79,78,1
female,group A,master's degree,standard,none,54,58,60,STU10130,I understand the basics but struggle with advanced topics.,1,2.65,86,84,4
female,group C,master's degree,standard,completed,51,68,71,STU10131,"I feel neutral about school, neither excited nor worried.",1,2.48,80,66,1
female,group D,some high school,standard,none,60,61,63,STU10132,I'm motivated to keep improving my grades.,0,2.51,85,99,2
male,group B,some college,free/reduced,none,70,63,68,STU10133,"I feel neutral about school, neither excited nor worried.",1,2.89,85,83,4
male,group B,associate's degree,free/reduced,completed,56,58,53,STU10134,I think I might fail this course without help.,2,2.18,71,15,11
male,group D,some college,standard,none,69,51,51,STU10135,Some topics are clear but others are confusing.,1,1.96,75,71,4
male,group D,associate's degree,standard,completed,66,69,62,STU10136,"Great learning experience, the teacher is very helpful.",0,2.55,86,89,0
male,group D,master's degree,standard,none,83,80,69,STU10137,I am doing well and understanding the concepts clearly.,0,2.79,97,91,0
female,group E,high school,free/reduced,none,65,59,71,STU10138,I participate actively in class discussions.,0,2.24,96,94,1
female,group C,high school,standard,none,68,70,72,STU10139,I enjoy group projects and collaborative learning.,0,2.61,89,84,1
male,group A,associate's degree,free/reduced,none,60,64,50,STU10140,I have difficulty concentrating during class.,2,2.7,55,20,8
female,group C,associate's degree,standard,none,60,63,72,STU10141,I participate actively in class discussions.,0,2.38,88,89,0
female,group B,some high school,standard,none,71,69,72,STU10142,I feel confident about my progress this semester.,0,3.0,93,88,1
male,group E,bachelor's degree,standard,none,65,70,61,STU10143,"It was fine, not great. I have room to improve.",1,2.33,76,82,2
female,group D,some college,standard,none,77,68,77,STU10144,I understand the basics but struggle with advanced topics.,1,3.24,80,82,3
female,group D,high school,standard,completed,65,73,83,STU10145,I understand the basics but struggle with advanced topics.,1,3.22,88,81,2
male,group D,some college,standard,none,72,60,67,STU10146,My study habits are strong and I feel on track.,0,2.69,97,89,1
male,group B,bachelor's degree,free/reduced,none,91,71,78,STU10147,My confidence in this subject has grown significantly.,0,3.36,97,82,1
female,group A,some high school,standard,none,70,79,81,STU10148,I am satisfied with my performance and feel well-prepared.,0,3.05,97,87,2
female,group B,some high school,free/reduced,completed,52,63,68,STU10149,I think I could do better if I focused more.,1,2.44,71,58,5
male,group A,associate's degree,free/reduced,completed,77,87,84,STU10150,I find the coursework challenging but rewarding.,0,2.99,99,78,2
male,group D,some college,standard,none,81,59,61,STU10151,I did okay but could do better with more effort.,1,2.61,90,59,1
male,group C,associate's degree,free/reduced,none,59,66,59,STU10152,I understand the basics but struggle with advanced topics.,1,2.61,90,55,3
female,group C,bachelor's degree,standard,none,68,64,71,STU10153,I need more time to grasp certain concepts.,1,3.07,90,81,5
male,group D,bachelor's degree,free/reduced,completed,77,80,77,STU10154,I am satisfied with my performance and feel well-prepared.,0,2.91,94,82,2
female,group C,associate's degree,standard,completed,68,83,87,STU10155,The test was manageable and I understood most concepts.,0,2.85,88,89,0
female,group C,associate's degree,standard,none,61,82,72,STU10156,Some topics are clear but others are confusing.,0,3.1,94,86,1
male,group E,associate's degree,standard,completed,89,82,86,STU10157,I consistently complete assignments on time and enjoy learning.,0,3.45,90,80,0
female,group C,some high school,free/reduced,none,51,51,47,STU10158,I need more time to grasp certain concepts.,1,2.13,85,59,2
female,group E,master's degree,free/reduced,none,61,77,68,STU10159,"Great learning experience, the teacher is very helpful.",0,2.88,99,84,2
female,group C,high school,standard,none,69,75,75,STU10160,The test was manageable and I understood most concepts.,0,2.8,94,95,1
male,group C,some college,free/reduced,none,61,61,56,STU10161,I sometimes fall behind on homework but catch up eventually.,1,2.13,82,80,1
male,group B,associate's degree,standard,completed,68,70,61,STU10162,I find the coursework challenging but rewarding.,0,2.49,94,75,2
female,group C,high school,free/reduced,completed,47,61,67,STU10163,I did okay but could do better with more effort.,1,2.48,71,81,3
male,group E,some high school,standard,completed,69,54,61,STU10164,"It was fine, not great. I have room to improve.",1,2.34,90,62,5
female,group C,some college,standard,none,73,72,79,STU10165,I enjoy group projects and collaborative learning.,0,3.11,89,95,0
female,group D,some college,free/reduced,none,60,62,58,STU10166,I understand lectures but struggle with practice problems.,2,2.35,63,18,5
female,group C,some high school,free/reduced,completed,34,41,41,STU10167,My home situation makes it hard to focus on studies.,2,1.74,51,22,6
female,group C,some college,standard,completed,73,72,72,STU10168,My grades are acceptable but not where I want them.,1,2.92,78,60,3
male,group E,some college,standard,completed,80,74,70,STU10169,I sometimes fall behind on homework but catch up eventually.,1,2.82,80,57,4
female,group C,associate's degree,standard,none,35,58,47,STU10170,I think I might fail this course without help.,2,1.65,65,45,9
female,group A,some high school,standard,completed,89,100,96,STU10171,The test was manageable and I understood most concepts.,0,3.41,88,89,1
female,group A,some college,standard,none,60,56,67,STU10172,I think I could do better if I focused more.,1,2.34,90,73,1
male,group D,associate's degree,standard,none,83,76,69,STU10173,I'm motivated to keep improving my grades.,0,2.66,95,94,0
male,group C,bachelor's degree,standard,completed,99,88,94,STU10174,I'm motivated to keep improving my grades.,0,4.0,94,95,1
male,group C,high school,standard,none,81,63,65,STU10175,I am satisfied with my performance and feel well-prepared.,0,2.63,100,78,0
male,group B,some college,free/reduced,none,56,58,46,STU10176,My performance varies a lot depending on the subject.,1,2.1,87,76,5
female,group B,some high school,free/reduced,none,75,83,78,STU10177,The study materials are excellent and easy to follow.,0,3.45,88,90,2
female,group D,some high school,standard,none,66,72,77,STU10178,Some topics are clear but others are confusing.,0,2.64,99,82,1
male,group C,some college,standard,none,71,81,76,STU10179,The test was manageable and I understood most concepts.,0,2.93,96,76,1
female,group C,high school,free/reduced,none,29,37,39,STU10180,I am stressed and falling behind in multiple subjects.,2,1.1,69,15,14
male,group C,some college,free/reduced,none,67,62,50,STU10181,I think I could do better if I focused more.,1,2.0,80,65,2
female,group C,high school,standard,completed,56,79,77,STU10182,"It was fine, not great. I have room to improve.",1,3.04,76,63,2
female,group C,associate's degree,standard,none,86,87,91,STU10183,I am doing well and understanding the concepts clearly.,0,3.75,85,83,0
male,group B,high school,standard,none,55,59,42,STU10184,I missed several classes and can't catch up.,2,1.82,41,18,4
female,group B,high school,standard,none,39,47,54,STU10185,I have no motivation to study anymore.,2,1.73,51,26,4
male,group E,some college,standard,none,71,66,66,STU10186,I consistently complete assignments on time and enjoy learning.,0,2.9,100,89,1
male,group E,bachelor's degree,standard,none,81,59,66,STU10187,The test was manageable and I understood most concepts.,0,2.52,86,98,2
female,group A,master's degree,standard,none,45,52,62,STU10188,I have difficulty concentrating during class.,2,1.74,70,35,10
female,group C,bachelor's degree,standard,none,67,77,79,STU10189,My study habits are strong and I feel on track.,0,2.93,87,85,2
male,group D,some college,free/reduced,none,72,58,69,STU10190,I feel confident about my progress this semester.,0,2.76,95,87,2
female,group E,associate's degree,standard,none,90,97,87,STU10191,I participate actively in class discussions.,0,3.66,98,78,2
male,group C,bachelor's degree,free/reduced,none,48,56,54,STU10192,I think I could do better if I focused more.,1,2.32,76,77,4
female,group C,associate's degree,standard,none,45,50,54,STU10193,I feel overwhelmed by the amount of work assigned.,2,1.95,66,16,9
female,group E,high school,standard,none,70,76,68,STU10194,I'm motivated to keep improving my grades.,0,3.22,100,77,0
female,group C,some college,standard,completed,71,75,82,STU10195,My confidence in this subject has grown significantly.,0,2.99,96,100,0
female,group C,high school,standard,none,82,86,84,STU10196,I participate actively in class discussions.,0,3.73,95,96,0
male,group D,high school,free/reduced,completed,72,67,63,STU10197,My confidence in this subject has grown significantly.,0,2.89,86,84,2
female,group D,some college,free/reduced,completed,58,78,83,STU10198,The test was manageable and I understood most concepts.,0,2.69,100,82,0
male,group C,associate's degree,free/reduced,completed,73,85,84,STU10199,I am doing well and understanding the concepts clearly.,0,3.12,93,93,0
female,group D,some high school,standard,completed,62,77,77,STU10200,I need more time to grasp certain concepts.,1,3.09,89,85,1
male,group D,some high school,standard,none,51,45,46,STU10201,I'm considering dropping out because I can't keep up.,2,1.71,51,27,15
female,group B,associate's degree,standard,none,48,49,59,STU10202,My home situation makes it hard to focus on studies.,2,1.68,49,46,14
male,group B,associate's degree,standard,completed,69,64,61,STU10203,I need to study more consistently going forward.,1,2.96,72,83,2
male,group D,some college,standard,none,76,62,66,STU10204,My study habits are strong and I feel on track.,0,2.62,95,99,2
female,group C,bachelor's degree,free/reduced,none,51,55,63,STU10205,My grades are acceptable but not where I want them.,1,1.98,89,53,1
female,group B,some high school,standard,none,71,76,82,STU10206,"Great learning experience, the teacher is very helpful.",0,2.99,99,88,1
male,group A,high school,standard,completed,73,77,73,STU10207,I participate actively in class discussions.,0,2.92,94,96,2
male,group C,high school,standard,completed,80,73,69,STU10208,I participate actively in class discussions.,0,2.6,97,94,0
male,group E,associate's degree,standard,completed,83,83,74,STU10209,I am satisfied with my performance and feel well-prepared.,0,3.56,89,99,1
male,group C,high school,standard,completed,58,53,52,STU10210,The exam was average difficulty for me.,1,2.37,75,58,4
male,group D,associate's degree,free/reduced,none,61,58,64,STU10211,"It was fine, not great. I have room to improve.",1,2.71,81,54,4
male,group B,associate's degree,free/reduced,completed,58,52,58,STU10212,I struggled a lot with the material this term.,2,2.21,44,30,13
female,group D,associate's degree,standard,completed,59,75,77,STU10213,I consistently complete assignments on time and enjoy learning.,0,2.75,88,87,0
female,group D,high school,standard,none,55,51,55,STU10214,I think I might fail this course without help.,2,2.24,63,15,10
female,group C,some college,standard,none,71,84,81,STU10215,My confidence in this subject has grown significantly.,0,3.1,97,91,0
female,group E,associate's degree,free/reduced,completed,53,73,70,STU10216,"Great learning experience, the teacher is very helpful.",0,2.39,90,77,2
female,group B,high school,standard,none,81,86,90,STU10217,I'm motivated to keep improving my grades.,0,3.43,96,86,2
male,group B,high school,standard,none,60,65,57,STU10218,I'm considering dropping out because I can't keep up.,2,2.22,49,26,7
female,group C,associate's degree,standard,completed,60,69,75,STU10219,I feel confident about my progress this semester.,0,2.84,90,99,2
female,group C,high school,free/reduced,completed,45,65,62,STU10220,I understand lectures but struggle with practice problems.,1,2.36,88,70,3
female,group E,some high school,free/reduced,none,77,71,73,STU10221,The test was manageable and I understood most concepts.,0,3.05,93,93,0
female,group B,bachelor's degree,standard,completed,70,84,80,STU10222,I am doing well and understanding the concepts clearly.,0,2.97,99,76,0
female,group E,associate's degree,free/reduced,completed,57,63,76,STU10223,"Great learning experience, the teacher is very helpful.",0,2.9,87,94,2
female,group C,bachelor's degree,standard,none,64,67,79,STU10224,My study habits are strong and I feel on track.,0,3.16,86,89,2
male,group C,associate's degree,free/reduced,completed,63,77,69,STU10225,I am doing well and understanding the concepts clearly.,0,2.79,86,89,0
female,group C,some college,free/reduced,none,37,43,36,STU10226,I have no motivation to study anymore.,2,1.42,45,42,14
female,group D,some high school,free/reduced,completed,33,53,63,STU10227,"It was fine, not great. I have room to improve.",1,2.38,86,83,5
female,group E,associate's degree,free/reduced,none,67,79,77,STU10228,I am doing well and understanding the concepts clearly.,0,2.88,95,96,2
female,group D,master's degree,standard,none,96,96,95,STU10229,I am satisfied with my performance and feel well-prepared.,0,3.94,87,85,0
male,group C,high school,standard,none,68,65,66,STU10230,I consistently complete assignments on time and enjoy learning.,0,2.83,89,85,0
female,group D,associate's degree,standard,none,73,69,71,STU10231,I feel confident about my progress this semester.,0,2.69,97,79,2
female,group B,some high school,standard,none,80,82,78,STU10232,The study materials are excellent and easy to follow.,0,3.05,97,95,1
female,group C,bachelor's degree,standard,completed,78,91,91,STU10233,My confidence in this subject has grown significantly.,0,3.63,87,95,2
female,group C,associate's degree,standard,completed,66,87,81,STU10234,I consistently complete assignments on time and enjoy learning.,0,2.73,94,80,0
male,group D,some college,standard,none,79,63,63,STU10235,I enjoy group projects and collaborative learning.,0,2.51,89,79,0
female,group C,bachelor's degree,standard,none,72,91,86,STU10236,"Great learning experience, the teacher is very helpful.",0,3.0,86,96,1
female,group B,associate's degree,standard,completed,54,67,68,STU10237,I feel anxious about exams and my future.,2,2.42,50,21,15
female,group A,some high school,free/reduced,none,39,41,46,STU10238,I have no motivation to study anymore.,2,2.0,68,12,10
female,group D,some high school,standard,none,76,89,84,STU10239,I am doing well and understanding the concepts clearly.,0,3.11,99,94,1
female,group D,bachelor's degree,free/reduced,none,75,78,86,STU10240,I enjoy group projects and collaborative learning.,0,3.15,92,84,1
female,group D,master's degree,standard,none,87,100,97,STU10241,I feel supported by my teachers and peers.,0,3.68,99,89,1
female,group B,bachelor's degree,standard,completed,71,73,77,STU10242,My performance varies a lot depending on the subject.,1,3.32,76,58,3
male,group D,associate's degree,standard,none,64,52,41,STU10243,I sometimes fall behind on homework but catch up eventually.,1,2.14,73,83,1
female,group A,high school,free/reduced,completed,56,53,60,STU10244,I understand lectures but struggle with practice problems.,1,2.21,86,59,4
male,group B,some college,free/reduced,none,51,59,51,STU10245,My grades are acceptable but not where I want them.,1,2.11,81,51,4
female,group B,some college,standard,none,71,72,73,STU10246,I participate actively in class discussions.,0,2.79,87,86,0
male,group D,some college,free/reduced,none,63,62,66,STU10247,I feel supported by my teachers and peers.,0,2.72,95,100,0
female,group D,associate's degree,free/reduced,completed,39,63,57,STU10248,I understand the basics but struggle with advanced topics.,1,2.1,74,80,4
